type,name,acquired,used
category,amulets,0,0
category,armor,0,0
category,boulders,0,0
category,coins,1,1
category,comestibles,4,4
category,gems,3,3
category,potions,13,8
category,rings,2,0
category,scrolls,17,16
category,spellbooks,2,1
category,tools,0,0
category,wands,1,0
category,weapons,0,0
item,an orange potion,8,8
item,an uncursed +2 pair of leather gloves (being worn),8,7
item,3 uncursed potions of healing,7,6
item,3 uncursed food rations,7,6
item,5 uncursed oranges,7,6
item,3 uncursed fortune cookies,6,5
item,blessed spellbook of sleep,5,5
item,4 uncursed food rations,5,5
item,5 uncursed apples,5,5
item,cursed +2 pair of leather gloves (being worn),5,5
item,2 uncursed potions of healing,5,5
item,6 uncursed oranges,5,5
item,blessed spellbook of healing,5,4
item,blessed spellbook of protection,4,4
item,4 uncursed fortune cookies,4,4
item,blessed potion of healing,4,4
item,7 uncursed apples,4,4
item,6 uncursed apples,4,3
item,an uncursed scroll of identify,4,3
item,newt corpse,4,3
item,7 uncursed oranges,3,3
item,an uncursed oil lamp,3,3
item,an uncursed scroll of remove curse,3,3
item,lichen corpse,3,3
item,an uncursed +1 robe (being worn),3,2
item,an uncursed scroll of destroy armor,2,2
item,an uncursed scroll of confuse monster,2,2
item,5 cursed oranges,2,2
item,2 uncursed food rations,2,2
item,cursed +1 robe (being worn),2,2
item,an uncursed scroll of light,2,2
item,bubbly potion,2,2
item,white potion,2,2
item,2 cursed potions of healing,2,2
item,an uncursed lichen corpse,2,2
item,blessed +2 pair of leather gloves (being worn),2,2
item,an uncursed spellbook of healing,2,2
item,cursed spellbook of healing,2,2
item,an uncursed spellbook of sleep,1,1
item,an uncursed spellbook of protection,1,1
item,an uncursed scroll of enchant armor,1,1
item,4 gold pieces,1,1
item,6 cursed oranges,1,1
item,3 cursed fortune cookies,1,1
item,an uncursed potion of sickness,1,1
item,magic marker (0:41),1,1
item,tripe ration,1,1
item,an uncursed tripe ration,1,1
item,an uncursed potion of hallucination,1,1
item,5 gold pieces,1,1
item,an uncursed scroll of scare monster,1,1
item,9 uncursed apples,1,1
item,5 uncursed fortune cookies,1,1
item,blessed scroll of identify,1,1
item,8 uncursed oranges,1,1
item,clear potion,1,1
item,5 uncursed food rations,1,1
item,magic marker (0:77),1,1
item,3 gold pieces,1,1
item,2 newt corpses,1,1
item,cursed magic marker (0:77),1,1
item,an uncursed newt corpse,1,1
item,an uncursed potion of healing,1,1
item,3 cursed food rations,1,1
item,cursed lichen corpse,1,1
item,an uncursed scroll of create monster,1,1
item,an uncursed scroll of teleportation,1,1
item,uranium wand,1,1
item,cursed scroll of teleportation,1,1
item,3 cursed potions of healing,1,1
item,food ration,1,1
item,scroll labeled FNORD,1,1
item,an uncursed food ration,1,1
item,an uncursed scroll of amnesia,1,1
